rssi_mean,rssi_std,location
-96.3076923076923,1.9368735864637185,"119,80"
-96.125,1.7633419974582356,"80,32"
-96.47619047619048,1.4349065879351774,"80,52"
-95.7560975609756,1.9973212280559256,"80,66"
-80.12179487179488,5.727064568634357,"80,78"
-75.26633165829146,5.143608231460334,"76,80"
-91.82978723404256,3.009341123449423,"93,78"
-92.46534653465346,3.0035106733724537,"102,80"
-95.02439024390245,2.042091286725315,"95,70"
-95.27272727272727,2.135880022631042,"89,70"
-60.47142857142857,2.8596774472028863,"63,80"
-85.08333333333333,3.940656016613204,"63,92"
-81.87958115183245,3.8466891771513505,"60, 100"
-84.53225806451613,3.5668021667655703,"65, 103"
-68.07476635514018,4.072246927541112,"54,78"
-76.44378698224853,5.640993227586494,"49,80"
-74.8010752688172,5.150237380971493,"47,78"
-86.77777777777777,3.84065323661882,"42,63"
-90.0,3.7392703642746747,"40,51"
-90.86363636363636,3.113442816368866,"36,59"
-91.50943396226415,3.401568126223129,"28,51"
-93.6086956521739,2.3999842469552317,"27,63"
-91.8,2.511971337416094,"36,73"
-83.3125,4.3505567172489545,"33,83"
-78.61206896551724,3.4460661023042864,"25,80"
-84.60283687943263,3.756562923971922,"17,78"
-94.92857142857143,1.7914194577120646,"09,81"
