cordX,cordY,7CD9F4004569,7CD9F4009D60,7CD9F400C540,7CD9F400D5BD,7CD9F401AE04,7CD9F4028BBA,7CD9F402DE77,7CD9F402F48A,7CD9F4038463,7CD9F403A33C,7CD9F403A9A3,7CD9F403C26A,7CD9F40402E4,7CD9F4042BB9,7CD9F4192C39,7CD9F41C2ED9,SP_cordX,SP_cordY,dist_localization_error_pd
104,53,-84.10828025477707,0.0,-65.39795918367346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97.66666666666669,0.0,0.0,93,53,11.0
95,70,0.0,0.0,0.0,0.0,-87.2948717948718,0.0,-96.66666666666669,0.0,0.0,0.0,-97.0,-70.02525252525253,0.0,0.0,-95.02439024390245,0.0,89,70,6.0
63,80,0.0,0.0,0.0,-89.57352941176471,-82.83435582822086,0.0,-73.65405405405406,-87.60377358490567,0.0,0.0,-91.3932584269663,-96.475,0.0,0.0,-60.47142857142857,0.0,54,78,9.22
36,73,0.0,0.0,0.0,0.0,-95.66666666666669,0.0,-86.6774193548387,-92.80851063829788,0.0,0.0,-77.02409638554217,0.0,0.0,0.0,-91.8,0.0,27,63,13.45
102,80,-90.67175572519083,-96.0,0.0,-97.0,-76.4733727810651,0.0,-92.48936170212764,-92.6829268292683,0.0,0.0,0.0,-87.42307692307692,0.0,-96.25,-92.46534653465346,-91.23275862068964,116,78,14.14
80,32,0.0,0.0,0.0,0.0,0.0,0.0,-98.75,0.0,0.0,0.0,-96.2,-98.0,0.0,0.0,-96.125,0.0,80,66,34.0
165,97,0.0,-69.16931216931216,0.0,0.0,0.0,-94.27027027027027,0.0,0.0,-80.87368421052632,-73.6536312849162,0.0,0.0,-79.84507042253522,-93.4047619047619,0.0,-91.93589743589745,184,106,21.02
153,121,0.0,-76.52258064516128,0.0,0.0,0.0,-97.22222222222224,0.0,0.0,-77.8804347826087,-77.1271676300578,0.0,0.0,-61.711009174311926,-90.7125,0.0,-92.77272727272728,168,118,15.3
60,100,0.0,0.0,0.0,-69.42660550458716,-97.07317073170732,0.0,-92.51851851851852,-98.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.87958115183245,0.0,63,92,8.54
152,92,-97.5,-76.98561151079137,0.0,0.0,0.0,-86.45283018867924,0.0,0.0,-92.66666666666669,-87.81651376146789,0.0,0.0,-93.765625,-83.49107142857143,0.0,-82.33088235294117,144,84,11.31
