ID,Coodinate
1,"181, 121"
2,"184, 03"
3,"181, 93"
4,"171, 110"
5,"168, 118"
6,"153, 121"
7,"165,97"
8,"154, 106"
9,"152,92"
10,"134,99"
11,"144,84"
12,"152,76"
13,"152,61"
14,"144,66"
15,"134,76"
16,"134,60"
17,"152,52"
18,"134,52"
19,"119,80"
20,"116,62"
21,"116,53"
22,"110,45"
23,"104,53"
24,"93,53"
25,"80,32"
26,"80,52"
27,"80,66"
28,"80,78"
29,"76,80"
30,"93,78"
31,"102,80"
32,"95,70"
33,"89,70"
34,"63,80"
35,"63,92"
36,"60, 100"
37,"65, 103"
38,"54,78"
39,"49,80"
40,"47,78"
41,"42,63"
42,"40,51"
43,"36,59"
44,"28,51"
45,"27,63"
46,"36,73"
47,"33,83"
48,"25,80"
49,"17,78"
50,"09,81"
